date,price
2005-01-19,1078.0
2005-01-26,1077.5
2005-02-02,1077.5
2005-02-09,1077.5
2005-02-16,1077.0
2005-02-23,1078.0
2005-03-02,1075.5
2005-03-09,1075.0
2005-03-16,1078.0
2005-03-23,1072.5
2005-03-30,1072.5
2005-04-06,1075.5
2005-04-13,1075.5
2005-04-20,1077.5
2005-04-27,1083.5
2005-05-04,1085.0
2005-05-11,1085.5
2005-05-18,1084.5
2005-05-25,1081.5
2005-06-01,1086.0
2005-06-08,1081.0
2005-06-15,1077.6
2005-06-22,1081.6
2005-06-29,1082.6
2005-07-06,1084.6
2005-07-09,1109.0
2005-07-13,1082.1
2005-07-20,1089.1
2005-07-27,1090.6
2005-08-03,1083.6
2005-08-10,1076.6
2005-08-17,1081.0
2005-08-24,1080.0
2005-08-31,1080.0
2005-09-07,1079.5
2005-09-14,1080.0
2005-09-21,1073.9
2005-09-28,1061.4
2005-10-05,1055.9
2005-10-12,1052.4
2005-10-19,1052.6
2005-10-26,1052.6
2005-11-02,1052.6
2005-11-09,1048.9
2005-11-16,1050.9
2005-11-23,1050.4
2005-11-30,1044.4
2005-12-07,1046.0
2005-12-14,1050.7
2005-12-21,1046.6
2005-12-28,1041.1
2006-01-04,1041.1
2006-01-11,1051.0
2006-01-18,1056.5
2006-01-25,1056.8
2006-02-01,1051.8
2006-02-08,1062.0
2006-02-15,1057.0
2006-02-22,1064.0
2006-03-01,1082.3
2006-03-08,1072.0
2006-03-15,1070.3
2006-03-22,1070.3
2006-03-29,1070.3
2006-04-05,1067.5
2006-04-12,1079.0
2006-04-19,1078.0
2006-04-26,1068.5
2006-05-03,1081.0
2006-05-10,1079.5
2006-05-17,1082.0
2006-05-24,1098.0
2006-05-31,1097.5
2006-06-07,1097.0
2006-06-14,1114.5
2006-06-21,1097.0
2006-06-28,1097.0
2006-07-05,1145.0
2006-07-12,1142.5
2006-07-19,1142.5
2006-07-26,1144.5
2006-08-02,1145.0
2006-08-09,1145.0
2006-08-16,1149.5
2006-08-23,1158.5
2006-08-30,1164.0
2006-09-06,1160.0
2006-09-13,1146.5
2006-09-20,1147.5
2006-09-27,1149.5
2006-10-04,1164.6
2006-10-11,1175.6
2006-10-18,1190.6
2006-10-25,1188.0
2006-11-01,1242.22
2006-11-08,1230.5
2006-11-15,1228.33
2006-11-22,1239.44
2006-11-29,1221.11
2006-12-06,1221.11
2006-12-13,1216.67
2006-12-20,1213.89
2006-12-27,1213.33
2007-01-03,1225.0
2007-01-10,1267.22
2007-01-17,1267.22
2007-01-24,1267.22
2007-01-31,1250.56
2007-02-07,1250.56
2007-02-14,1250.56
2007-02-21,1177.22
2007-02-28,1180.56
2007-03-07,1184.44
2007-03-14,1191.11
2007-03-21,1191.11
2007-03-28,1184.44
2007-04-04,1184.44
2007-04-11,1190.0
2007-04-18,1195.56
2007-04-25,1200.0
2007-05-02,1199.44
2007-05-09,1206.67
2007-05-16,1215.0
2007-05-23,1213.33
2007-05-30,1200.22
2007-06-06,1205.78
2007-06-13,1205.56
2007-06-20,1209.44
2007-06-27,1205.56
2007-07-04,1218.89
2007-07-11,1218.89
2007-07-18,1211.11
2007-07-25,1212.22
2007-08-01,1217.78
2007-08-08,1217.78
2007-08-15,1214.44
2007-08-22,1245.56
2007-08-29,1248.33
2007-09-05,1248.33
2007-09-12,1245.56
2007-09-19,1254.44
2007-09-26,1286.5
2007-10-03,1286.5
2007-10-10,1290.0
2007-10-17,1303.5
2007-10-24,1311.0
2007-10-31,1313.0
2007-11-07,1322.5
2007-11-14,1320.5
2007-11-21,1320.0
2007-11-28,1322.0
2007-12-05,1324.5
2007-12-12,1322.5
2007-12-19,1320.0
2007-12-26,1320.0
2008-01-02,1320.0
2008-01-09,1327.0
2008-01-16,1330.0
2008-01-23,1347.0
2008-01-30,1349.5
2008-02-06,1349.5
2008-02-07,1405.0
2008-02-13,1355.0
2008-02-20,1391.5
2008-02-27,1386.0
2008-03-05,1416.0
2008-03-12,1416.5
2008-03-19,1419.5
2008-03-26,1421.5
2008-04-02,1452.5
2008-04-06,1266.25
2008-04-09,1449.5
2008-04-16,1470.0
2008-04-23,1460.0
2008-04-30,1504.0
2008-05-07,1504.0
2008-05-14,1506.5
2008-05-21,1511.0
2008-05-28,1541.82
2008-06-04,1541.82
2008-06-11,1560.91
2008-06-18,1548.64
2008-06-25,1571.82
2008-07-02,1572.73
2008-07-09,1555.0
2008-07-16,1550.83
2008-07-23,1551.25
2008-07-30,1546.25
2008-08-06,1549.58
2008-08-13,1580.0
2008-08-20,1580.83
2008-08-27,1595.42
2008-09-03,1614.58
2008-09-10,1615.0
2008-09-17,1610.83
2008-09-24,1616.25
2008-10-01,1616.25
2008-10-08,1622.08
2008-10-12,1576.67
2008-10-15,1622.08
2008-10-22,1628.75
2008-10-29,1628.75
2008-11-05,1631.25
2008-11-12,1631.25
2008-11-19,1639.58
2008-11-26,1641.67
2008-12-03,1641.67
2008-12-10,1623.33
2008-12-17,1623.75
2008-12-24,1614.58
2008-12-31,1615.42
2009-01-07,1617.08
2009-01-14,1630.83
2009-01-21,1629.58
2009-01-28,1619.17
2009-02-04,1617.5
2009-02-11,1617.5
2009-02-18,1619.17
2009-02-25,1612.92
2009-03-04,1608.75
2009-03-11,1608.75
2009-03-18,1621.67
2009-03-25,1621.25
2009-04-01,1627.5
2009-04-08,1621.25
2009-04-11,1950.0
2009-04-15,1629.58
2009-04-22,1638.33
2009-04-29,1634.17
2009-05-06,1634.17
2009-05-13,1640.0
2009-05-20,1644.17
2009-05-27,1644.17
2009-06-03,1633.33
2009-06-10,1630.83
2009-06-17,1626.67
2009-06-24,1626.67
2009-07-01,1626.67
2009-07-08,1630.83
2009-07-15,1631.25
2009-07-22,1630.83
2009-07-29,1626.67
2009-08-05,1635.83
2009-08-12,1637.5
2009-08-19,1677.08
2009-08-26,1675.0
2009-09-02,1675.0
2009-09-09,1673.33
2009-09-16,1679.17
2009-09-23,1683.33
2009-09-30,1700.0
2009-10-07,1693.75
2009-10-14,1718.75
2009-10-21,1770.0
2009-10-28,1797.08
2009-11-04,1803.33
2009-11-11,1801.25
2009-11-18,1795.0
2009-11-25,1795.0
2009-12-02,1791.67
2009-12-09,1791.67
2009-12-16,1750.0
2009-12-23,1778.75
2009-12-30,1778.75
2010-01-06,1778.75
2010-01-12,1793.89
2010-01-13,1779.58
2010-01-20,1779.58
2010-01-27,1777.08
2010-02-03,1768.75
2010-02-06,1625.0
2010-02-10,1753.33
2010-02-17,1753.33
2010-02-24,1745.0
2010-03-03,1771.67
2010-03-10,1753.33
2010-03-17,1753.33
2010-03-24,1770.45
2010-03-31,1770.45
2010-04-07,1803.57
2010-04-14,1803.57
2010-04-21,1786.43
2010-04-28,1787.14
2010-05-05,1726.67
2010-05-12,1768.0
2010-05-19,1768.0
2010-05-26,1793.0
2010-06-02,1783.0
2010-06-09,1793.0
2010-06-16,1773.0
2010-06-23,1784.55
2010-06-30,1793.64
2010-07-07,1786.36
2010-07-14,1786.36
2010-07-21,1786.36
2010-07-28,1818.18
2010-08-04,1813.64
2010-08-11,1812.27
2010-08-18,1816.82
2010-08-25,1813.64
2010-09-01,1820.45
2010-09-08,1822.22
2010-09-15,1811.11
2010-09-22,1812.73
2010-09-29,1807.27
2010-10-06,1780.0
2010-10-13,1812.27
2010-10-20,1828.64
2010-10-27,1823.5
2010-11-03,1813.5
2010-11-10,1859.38
2010-11-17,1792.5
2010-11-24,1797.0
2010-12-01,1798.0
2010-12-08,1870.0
2010-12-15,1819.5
2010-12-22,1824.5
2010-12-29,1873.0
2011-01-05,1912.5
2011-01-12,1880.0
2011-01-19,1877.5
2011-01-26,1877.5
2011-02-02,1906.88
2011-02-09,1865.0
2011-02-16,1869.0
2011-02-23,1897.5
2011-03-02,1900.0
2011-03-09,1814.29
2011-03-16,1820.0
2011-03-23,1820.0
2011-03-30,1837.14
2011-04-06,1826.43
2011-04-13,1815.0
2011-04-20,1820.0
2011-04-27,1885.62
2011-05-04,1885.62
2011-05-11,1883.12
2011-05-18,1886.88
2011-05-25,1863.0
2011-06-01,1850.45
2011-06-08,1848.64
2011-06-15,1855.45
2011-06-22,1855.91
2011-06-29,1867.22
2011-07-06,1875.0
2011-07-13,1866.67
2011-07-20,1872.22
2011-07-27,1883.33
2011-08-03,1894.44
2011-08-10,1895.56
2011-08-17,1896.67
2011-08-24,1894.44
2011-08-31,1896.11
2011-09-07,1894.44
2011-09-14,1888.89
2011-09-21,1879.09
2011-09-28,1890.91
2011-10-05,1889.55
2011-10-12,1773.12
2011-10-19,1864.0
2011-10-26,2020.0
2011-11-02,1850.0
2011-11-09,1853.33
2011-11-16,1897.14
2011-11-23,1904.55
2011-11-30,2022.22
2011-12-07,1930.0
2011-12-14,1939.09
2011-12-21,1898.0
2011-12-28,1828.89
2012-01-04,1916.0
2012-01-11,1893.5
2012-01-18,1911.0
2012-01-25,1910.0
2012-02-01,1908.5
2012-02-08,1908.33
2012-02-15,1891.11
2012-02-22,1931.36
2012-02-29,1937.22
2012-03-07,2024.29
2012-03-14,1998.5
2012-03-21,1928.0
2012-03-28,1930.5
2012-04-04,1943.64
2012-04-11,1945.91
2012-04-18,1919.38
2012-04-25,1945.0
2012-05-02,1973.0
2012-05-09,1857.78
2012-05-16,1955.56
2012-05-23,1953.5
2012-05-30,2005.5
2012-06-06,2014.55
2012-06-13,2052.73
2012-06-20,2009.0
2012-06-27,2092.1
2012-07-04,2040.09
2012-07-11,1999.0
